dps310_pressure,dps310_temp,bno08x_accel_z,bno08x_accel_x,bno08x_accel_y,timestamp
972.715,35.769,,,,1725197552414
,,0.304688,0.496094,-9.72656,1725197552505
972.713,35.7713,,,,1725197552606
,,-0.152344,0.726563,-9.88672,1725197552666
972.711,35.7708,,,,1725197552786
,,0.113281,0.652344,-9.76563,1725197552852
972.712,35.7708,,,,1725197552942
,,0.613281,1.07422,-9.80859,1725197553007
972.713,35.7753,,,,1725197553121
,,0.496094,1.07422,-9.92578,1725197553181
972.713,35.7807,,,,1725197553273
,,0.078125,0.34375,-9.73047,1725197553335
972.713,35.7818,,,,1725197553449
,,0.34375,0.882813,-9.69141,1725197553510
972.711,35.7818,,,,1725197553600
,,0.917969,0.957031,-9.76563,1725197553663
972.711,35.786,,,,1725197553774
,,0.726563,0.691406,-9.61328,1725197553835
972.71,35.7965,,,,1725197553923
,,-0.152344,1.14844,-9.84375,1725197553989
972.71,35.7971,,,,1725197554102
,,0.726563,1.03516,-10.0313,1725197554163
972.71,35.79,,,,1725197554251
,,0.304688,-0.382813,-9.88281,1725197554311
972.709,35.79,,,,1725197554424
,,0.726563,1.10938,-9.76953,1725197554486
972.71,35.7997,,,,1725197554572
,,0.421875,-0.191406,-9.96484,1725197554634
972.711,35.8022,,,,1725197554752
,,-0.078125,0.726563,-9.84766,1725197554812
972.711,35.8059,,,,1725197554900
,,0.230469,0.460938,-9.6875,1725197554961
972.71,35.8068,,,,1725197555075
,,0.269531,0.613281,-10.1094,1725197555135
972.709,35.8068,,,,1725197555221
,,-0.078125,0.0,-9.64844,1725197555283
972.707,35.8084,,,,1725197555377
,,0.382813,1.07422,-9.84375,1725197555460
972.707,35.807,,,,1725197555559
,,0.078125,0.726563,-9.92188,1725197555618
972.709,35.7991,,,,1725197555705
,,0.34375,0.765625,-9.76953,1725197555788
972.708,35.7991,,,,1725197555885
,,0.460938,0.726563,-9.96484,1725197555944
972.705,35.7971,,,,1725197556038
,,0.613281,0.574219,-9.72656,1725197556119
972.708,35.8221,,,,1725197556206
,,0.0390625,0.996094,-9.96484,1725197556275
972.706,35.821,,,,1725197556665
,,0.496094,0.726563,-9.84766,1725197556729
972.705,35.8218,,,,1725197556840
,,-0.152344,1.1875,-9.92188,1725197556925
972.705,35.8257,,,,1725197557012
,,0.0390625,0.574219,-9.65234,1725197557080
972.708,35.828,,,,1725197557166
,,0.726563,0.957031,-9.84766,1725197557247
972.705,35.828,,,,1725197557340
,,0.304688,0.84375,-10.0352,1725197557399
972.701,35.8292,,,,1725197557484
,,0.0390625,0.917969,-9.73047,1725197557545
972.701,35.8306,,,,1725197557650
,,0.34375,0.917969,-9.84766,1725197557710
972.702,35.8297,,,,1725197557795
,,0.535156,0.996094,-9.64844,1725197557856
972.703,35.8297,,,,1725197557968
,,0.34375,0.804688,-9.88281,1725197558028
972.701,35.813,,,,1725197558122
,,0.421875,1.57031,-10.0703,1725197558182
972.703,35.8453,,,,1725197558296
